The code for file logistic_sgd.py ran for 4.1s
... loading data
... building the model
... training the model
epoch 1, minibatch 83/83, validation error 12.458333 %
     epoch 1, minibatch 83/83, test error of best model 12.375000 %
epoch 2, minibatch 83/83, validation error 11.010417 %
     epoch 2, minibatch 83/83, test error of best model 10.958333 %
epoch 3, minibatch 83/83, validation error 10.312500 %
     epoch 3, minibatch 83/83, test error of best model 10.312500 %
epoch 4, minibatch 83/83, validation error 9.875000 %
     epoch 4, minibatch 83/83, test error of best model 9.833333 %
epoch 5, minibatch 83/83, validation error 9.562500 %
     epoch 5, minibatch 83/83, test error of best model 9.479167 %
epoch 6, minibatch 83/83, validation error 9.322917 %
     epoch 6, minibatch 83/83, test error of best model 9.291667 %
epoch 7, minibatch 83/83, validation error 9.187500 %
     epoch 7, minibatch 83/83, test error of best model 9.000000 %
epoch 8, minibatch 83/83, validation error 8.989583 %
     epoch 8, minibatch 83/83, test error of best model 8.958333 %
epoch 9, minibatch 83/83, validation error 8.937500 %
     epoch 9, minibatch 83/83, test error of best model 8.812500 %
epoch 10, minibatch 83/83, validation error 8.750000 %
     epoch 10, minibatch 83/83, test error of best model 8.666667 %
epoch 11, minibatch 83/83, validation error 8.666667 %
     epoch 11, minibatch 83/83, test error of best model 8.520833 %
epoch 12, minibatch 83/83, validation error 8.583333 %
     epoch 12, minibatch 83/83, test error of best model 8.416667 %
epoch 13, minibatch 83/83, validation error 8.489583 %
     epoch 13, minibatch 83/83, test error of best model 8.291667 %
epoch 14, minibatch 83/83, validation error 8.427083 %
     epoch 14, minibatch 83/83, test error of best model 8.281250 %
epoch 15, minibatch 83/83, validation error 8.354167 %
     epoch 15, minibatch 83/83, test error of best model 8.270833 %
epoch 16, minibatch 83/83, validation error 8.302083 %
     epoch 16, minibatch 83/83, test error of best model 8.239583 %
epoch 17, minibatch 83/83, validation error 8.250000 %
     epoch 17, minibatch 83/83, test error of best model 8.177083 %
epoch 18, minibatch 83/83, validation error 8.229167 %
     epoch 18, minibatch 83/83, test error of best model 8.062500 %
epoch 19, minibatch 83/83, validation error 8.260417 %
epoch 20, minibatch 83/83, validation error 8.260417 %
epoch 21, minibatch 83/83, validation error 8.208333 %
     epoch 21, minibatch 83/83, test error of best model 7.947917 %
epoch 22, minibatch 83/83, validation error 8.187500 %
     epoch 22, minibatch 83/83, test error of best model 7.927083 %
epoch 23, minibatch 83/83, validation error 8.156250 %
     epoch 23, minibatch 83/83, test error of best model 7.958333 %
epoch 24, minibatch 83/83, validation error 8.114583 %
     epoch 24, minibatch 83/83, test error of best model 7.947917 %
epoch 25, minibatch 83/83, validation error 8.093750 %
     epoch 25, minibatch 83/83, test error of best model 7.947917 %
epoch 26, minibatch 83/83, validation error 8.104167 %
epoch 27, minibatch 83/83, validation error 8.104167 %
epoch 28, minibatch 83/83, validation error 8.052083 %
     epoch 28, minibatch 83/83, test error of best model 7.843750 %
epoch 29, minibatch 83/83, validation error 8.052083 %
epoch 30, minibatch 83/83, validation error 8.031250 %
     epoch 30, minibatch 83/83, test error of best model 7.843750 %
epoch 31, minibatch 83/83, validation error 8.010417 %
     epoch 31, minibatch 83/83, test error of best model 7.833333 %
epoch 32, minibatch 83/83, validation error 7.979167 %
     epoch 32, minibatch 83/83, test error of best model 7.812500 %
epoch 33, minibatch 83/83, validation error 7.947917 %
     epoch 33, minibatch 83/83, test error of best model 7.739583 %
epoch 34, minibatch 83/83, validation error 7.875000 %
     epoch 34, minibatch 83/83, test error of best model 7.729167 %
epoch 35, minibatch 83/83, validation error 7.885417 %
epoch 36, minibatch 83/83, validation error 7.843750 %
     epoch 36, minibatch 83/83, test error of best model 7.697917 %
epoch 37, minibatch 83/83, validation error 7.802083 %
     epoch 37, minibatch 83/83, test error of best model 7.635417 %
epoch 38, minibatch 83/83, validation error 7.812500 %
epoch 39, minibatch 83/83, validation error 7.812500 %
epoch 40, minibatch 83/83, validation error 7.822917 %
epoch 41, minibatch 83/83, validation error 7.791667 %
     epoch 41, minibatch 83/83, test error of best model 7.625000 %
epoch 42, minibatch 83/83, validation error 7.770833 %
     epoch 42, minibatch 83/83, test error of best model 7.614583 %
epoch 43, minibatch 83/83, validation error 7.750000 %
     epoch 43, minibatch 83/83, test error of best model 7.593750 %
epoch 44, minibatch 83/83, validation error 7.739583 %
     epoch 44, minibatch 83/83, test error of best model 7.593750 %
epoch 45, minibatch 83/83, validation error 7.739583 %
epoch 46, minibatch 83/83, validation error 7.739583 %
epoch 47, minibatch 83/83, validation error 7.739583 %
epoch 48, minibatch 83/83, validation error 7.708333 %
     epoch 48, minibatch 83/83, test error of best model 7.583333 %
epoch 49, minibatch 83/83, validation error 7.677083 %
     epoch 49, minibatch 83/83, test error of best model 7.572917 %
epoch 50, minibatch 83/83, validation error 7.677083 %
epoch 51, minibatch 83/83, validation error 7.677083 %
epoch 52, minibatch 83/83, validation error 7.656250 %
     epoch 52, minibatch 83/83, test error of best model 7.541667 %
epoch 53, minibatch 83/83, validation error 7.656250 %
epoch 54, minibatch 83/83, validation error 7.635417 %
     epoch 54, minibatch 83/83, test error of best model 7.520833 %
epoch 55, minibatch 83/83, validation error 7.635417 %
epoch 56, minibatch 83/83, validation error 7.635417 %
epoch 57, minibatch 83/83, validation error 7.604167 %
     epoch 57, minibatch 83/83, test error of best model 7.489583 %
epoch 58, minibatch 83/83, validation error 7.583333 %
     epoch 58, minibatch 83/83, test error of best model 7.458333 %
epoch 59, minibatch 83/83, validation error 7.572917 %
     epoch 59, minibatch 83/83, test error of best model 7.468750 %
epoch 60, minibatch 83/83, validation error 7.572917 %
epoch 61, minibatch 83/83, validation error 7.583333 %
epoch 62, minibatch 83/83, validation error 7.572917 %
     epoch 62, minibatch 83/83, test error of best model 7.520833 %
epoch 63, minibatch 83/83, validation error 7.562500 %
     epoch 63, minibatch 83/83, test error of best model 7.510417 %
epoch 64, minibatch 83/83, validation error 7.572917 %
epoch 65, minibatch 83/83, validation error 7.562500 %
epoch 66, minibatch 83/83, validation error 7.552083 %
     epoch 66, minibatch 83/83, test error of best model 7.520833 %
epoch 67, minibatch 83/83, validation error 7.552083 %
epoch 68, minibatch 83/83, validation error 7.531250 %
     epoch 68, minibatch 83/83, test error of best model 7.520833 %
epoch 69, minibatch 83/83, validation error 7.531250 %
epoch 70, minibatch 83/83, validation error 7.510417 %
     epoch 70, minibatch 83/83, test error of best model 7.500000 %
epoch 71, minibatch 83/83, validation error 7.520833 %
epoch 72, minibatch 83/83, validation error 7.510417 %
epoch 73, minibatch 83/83, validation error 7.500000 %
     epoch 73, minibatch 83/83, test error of best model 7.489583 %
Optimization complete with best validation score of 7.500000 %,with test performance 7.489583 %
The code run for 74 epochs, with 18.110729 epochs/sec
